0,1,2,3,4,5,6,7,8,9,10,11,12,13,binary_label
12686.json,half-true,Youre more likely to be the victim of a violent crime in Milwaukee than in 96 percent of the country.,"crime,population,public-safety,urban",van-wanggaard,,,republican,0.0,0.0,1.0,1.0,0.0,an opinion article,1
7456.json,half-true,"The majority of public funding for the Marlins stadium came from hotel taxes, the burden of which is incurred by tourists who are visiting our city, NOT the resident taxpayers.","baseball,city-budget,county-budget",jeffrey-loria,Marlins owner,Florida,none,0.0,0.0,1.0,0.0,0.0,an ad,1
12455.json,mostly-true,More people today are leaving Virginia than moving in.,"economy,population",nikki-haley,Governor,South Carolina,republican,0.0,0.0,1.0,3.0,0.0,a forum.,1
6164.json,half-true,The Mack Penny Plan for the federal budget would balance our budget by 2019 and continues to gain support.,"deficit,federal-budget",connie-mack,U.S. representative from Fort Myers,Florida,republican,3.0,3.0,1.0,3.0,1.0,a campaign mailer,1
1759.json,mostly-true,"Under the Arizona immigration law, police are required to check immigration status if someone's ""lawn is overgrown"" or if a dog is ""barking too loudly.""","immigration,legal-issues",kyrsten-sinema,State Representative,Arizona,democrat,0.0,0.0,0.0,1.0,0.0,an interview on MSNBC's 'Countdown with Keith Olbermann',1
1305.json,half-true,"As a result of the House Republican bill, the nonpartisan Congressional Budget Office now confirms that families will see their health care premiums reduced by up to 10 percent.",health-care,mike-pence,Governor,Indiana,republican,8.0,10.0,12.0,5.0,0.0,a press release,1
12223.json,true,"Right now, here in Texas, wind power is already cheaper than dirty fossil fuels.","energy,states",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,remarks in Dallas at a Democratic National Committee reception,1
9387.json,half-true,Florida has the most errors and exonerations from death row.,"legal-issues,supreme-court",aclu-florida,,Florida,none,0.0,1.0,1.0,1.0,0.0,a news release,1
1596.json,half-true,There is no precedent for what the Democrats are doing with this deception. ... We have never written a reconciliation bill to amend a law that does not exist.,health-care,cliff-stearns,U.S. representative,Florida,republican,0.0,0.0,2.0,1.0,0.0,a speech on the House floor,1
2028.json,true,"He (Kirk) did violate Pentagon rules, twice actually, for improperly mingling politics with his military service.","afghanistan,candidates-biography,iraq,message-machine,military,patriotism",alexi-giannoulias,,Illinois,democrat,1.0,0.0,0.0,0.0,0.0,a campaign commercial,1
9019.json,true,Oregon has never before tried to create a land-use plan for what it should look like for 50 years.,urban,state-rep-brian-clem-d-salem,State representative,Oregon,democrat,0.0,0.0,0.0,0.0,0.0,a newspaper story,1
12598.json,half-true,The House Zika bill limits access to birth control services needed to help curb the spread of the virus in Puerto Rico.,"abortion,public-health",bill-nelson,,Florida,democrat,3.0,1.0,8.0,10.0,0.0,an email statement,1
7335.json,half-true,Says the claim that 40 percent of guns are sold without background checks traces to information gathered before background checks were even required.,guns,ted-cruz,Senator,Texas,republican,36.0,33.0,15.0,19.0,8.0,a U.S. Senate committee hearing.,1
836.json,half-true,"Obama ""changed the rules in Washington. Gone are the free gifts from lobbyists. Gone are the fancy airplane rides for nothing.""",ethics,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a statement by Sen. Claire McCaskill in a TV ad. ,1
12136.json,mostly-true,Says JoAnne Kloppenburg has told us she thinks its her job to promote a more equal society.,"candidates-biography,legal-issues,supreme-court",rebecca-bradley,,,none,0.0,1.0,0.0,1.0,0.0,an interview,1
12807.json,mostly-true,Illegal immigration and the crime rate are as low as theyve been in decades.,"crime,history,immigration",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a speech at the Democratic National Convention,1
6198.json,half-true,"Statistics show that more people at this time telecommute than they ride carpools, mass transit, bicycle or walk.",transportation,debbie-dooley,,Georgia,tea-party-member,0.0,1.0,1.0,1.0,0.0,a speech,1
667.json,true,McCain voted 19 times against a minimum-wage increase.,federal-budget,joe-biden,U.S. senator,Delaware,democrat,11.0,10.0,21.0,16.0,4.0,a speech at the Democratic National Convention in Denver,1
1007.json,mostly-true,Sen. Arlen Specters party switch could end up giving Republicans the ability to filibuster judicial nominees at the Judiciary Committee level so that the nominees never get out of committee.,"legal-issues,pundits",rush-limbaugh,Radio host,,none,9.0,11.0,5.0,2.0,10.0,a radio show,1
4517.json,true,Says only four Texas legislators voted against a law giving in-state tuition rates to certain illegal immigrants.,"education,immigration,states",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,an interview,1
8109.json,true,"In fact New Jersey is a donor state, we get 61 cents back on every dollar we send to Washington. And interestingly Kentucky gets $1.51 on every dollar they send to Washington.",taxes,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,an article on NJ.com,1
2785.json,half-true,"One of the interesting things about the Recovery Act was most of the projects came in under budget, faster than expected, because theres just not a lot of work there.",stimulus,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"a ""60 Minutes"" interview",1
6211.json,true,"Were spending $12,000 bucks a kid a year in the school system.","education,taxes",don-mcintire,,,newsmaker,0.0,0.0,0.0,0.0,0.0,a radio show,1
5834.json,half-true,Says Austin has the lowest property tax rate by far of the five major cities in Texas.,"city-budget,city-government,housing,taxes",lee-leffingwell,Austin mayor,Texas,democrat,1.0,0.0,4.0,1.0,0.0,an Austin mayoral candidate debate,1
13229.json,true,You can look at the propaganda on a lot of the terrorists sites and what Donald Trump saysabout Muslims is used to recruit fighters.,"foreign-policy,religion,terrorism",hillary-clinton,Presidential candidate,New York,democrat,40.0,29.0,69.0,76.0,7.0,the second 2016 presidential debate,1
3617.json,half-true,"General Electric hasnt really created any jobs in this country, doesnt pay any taxes, and theyre making historic profits.","corporations,deficit,federal-budget,taxes",marcy-kaptur,Representative from Ohio's Ninth Congressional District,Ohio,democrat,0.0,2.0,4.0,4.0,0.0,a radio interview,1
13296.json,mostly-true,Says the U.S. Attorneys Office said that neither I nor my campaign had any idea what was going on regarding my fathers illegal campaign contributions. And thats why they closed this case.,"elections,legal-issues",ami-bera,U.S. House of Representatives,California,democrat,1.0,0.0,1.0,1.0,0.0,a U.S. Congressional campaign debate,1
11523.json,half-true,Iowas Republican caucus stopped mattering years ago. It in no way determines the party nominee.,"elections,history",trevor-noah,,,talk-show-host,0.0,0.0,1.0,0.0,0.0,"a broadcast of ""The Daily Show""",1
11499.json,true,"In 2008, then-Sen. Barack Obama missed 60 or 70 percent of his votes. In 2004, John Kerry missed close to 60 to 70 percent and Bob Graham missed over 30 percent of his votes.","candidates-biography,corrections-and-updates,voting-record",marco-rubio,U.S. Senator,Florida,republican,33.0,24.0,32.0,35.0,5.0,the CNBC GOP presidential debate,1
12278.json,half-true,Says Ted Cruz wanted to let in more Syrian refugees and give amnesty to illegal immigrants.,"candidates-biography,foreign-policy,immigration,terrorism",great-america-pac,,,organization,0.0,0.0,1.0,0.0,0.0,a TV ad,1
10365.json,true,"January through November 2014, the year so far, were the hottest first 11 months of any year recorded.","climate-change,energy,environment,history,science,weather",sheldon-whitehouse,U.S. Senator,Rhode Island,democrat,2.0,3.0,2.0,7.0,0.0,a Senate floor speech,1
5394.json,half-true,"[W]hen adjusted for cost of living, Georgia ranks first nationally in teacher salary and benefits.","education,state-finances",jan-jones,,Georgia,republican,0.0,0.0,1.0,0.0,0.0,an essay,1
9767.json,mostly-true,Says his Act 10 reforms have saved the taxpayers some $3 billion.,"city-government,county-government,health-care,pensions,state-budget,state-finances,taxes",scott-walker,Milwaukee County Executive,Wisconsin,republican,26.0,41.0,32.0,40.0,11.0,a news article,1
6185.json,true,"Says the federal health care law upheld by the Supreme Court has improved or saved the lives of more than 4,000 Texans otherwise prevented from obtaining health coverage due to pre-existing conditions.",health-care,becky-moeller,"president, Texas AFL-CIO",Texas,democrat,0.0,0.0,0.0,0.0,0.0,a statement reacting to the Supreme Court decision upholding the law.,1
7684.json,half-true,About 3 percent of Gov. Nathan Deals appointments have been African-American.,"civil-rights,public-service",vincent-fort,State Senator,Georgia,democrat,1.0,0.0,2.0,1.0,1.0,a speech,1
5037.json,true,"And, as of today, New Jersey state government has less employees than when Christie Whitman left office in 2001.",jobs,chris-christie,Governor of New Jersey,New Jersey,republican,10.0,17.0,27.0,19.0,8.0,an interview on MSNBC’s Morning Joe,1
5405.json,mostly-true,"When I was born, defense spending was 60 percent of the budget. Its now 17 percent.","federal-budget,military",rick-santorum,,Pennsylvania,republican,12.0,16.0,13.0,7.0,5.0,"a Republican presidential debate in Mesa, Ariz.",1
766.json,mostly-true,John McCain said...in December he was surprised there was a subprime mortgage problem.,economy,joe-biden,U.S. senator,Delaware,democrat,11.0,10.0,21.0,16.0,4.0,St. Louis,1
12069.json,half-true,"More lives are lost from violence against women, sex-selective abortion, female infanticide, suicide, egregious maternal mortality, and other sex-linked causes than were lost during all of the wars and civil strife of the 20th century.",women,emma-watson,,,none,0.0,0.0,2.0,0.0,0.0,an interview with Gloria Steinem,1
3558.json,half-true,The benefits that were offered to me as a congressman dont even compare to the benefits that you get as a state employee. I just experienced that myself. Theyre not nearly as good.,"candidates-biography,federal-budget,health-care,state-budget",sean-duffy,Member of the U.S. House,Wisconsin,republican,5.0,1.0,6.0,1.0,2.0,a discussion at a town hall meeting,1
213.json,half-true,Huckabee supported a tuition break to the children of illegals that are here illegally when citizens are having to pay a higher rate.,"education,immigration",mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,an interview,1
1654.json,true,The Senate Republican education plan is an unfunded mandate for local school districts.,education,alex-sink,,Florida,democrat,1.0,2.0,2.0,4.0,0.0,a press release,1
570.json,half-true,"Obama ""voted for and even sponsored amendments that were intended to kill the (immigration overhaul) legislation.""",immigration,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,a speech in San Diego,1
333.json,true,"John McCain has said the economy is ""not his strong suit.""",economy,mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,Denver,1
9812.json,half-true,Weve seen highway fatalities actually decrease in Colorado since marijuana use was legalized.,marijuana,anthony-johnson,,Oregon,activist,0.0,0.0,1.0,0.0,0.0,a political debate,1
291.json,half-true,"I believe, Senator Clinton, you've raised more money from those people (the oil and gas industry) than any candidate, Democrat or Republican.",ethics,john-edwards,former senator,North Carolina,democrat,0.0,2.0,4.0,4.0,1.0,Las Vegas,1
4346.json,half-true,Gov. Rick Scott is trying to get a waiver under the federal health care law that would deny consumers in Florida the right to the $60 million in rebates they have from their own HMOs.,health-care,scott-randolph,State Representative,Florida,democrat,0.0,1.0,1.0,0.0,0.0,a TV interview,1
9952.json,mostly-true,Jason Carter actually opposed more funding for education in the Senate.,"education,state-budget",republican-governors-association,,"Washington, D.C.",republican,5.0,1.0,6.0,4.0,2.0,television ad,1
4746.json,true,"Every day in the United States, we are losing 15 factories.","economy,jobs,taxes",betty-sutton,U.S. representative from Ohio's 13th District,Ohio,democrat,0.0,2.0,1.0,2.0,1.0,a speech in the House of Representatives,1
8640.json,mostly-true,About 2 percent of Americans get paid the minimum wage.,"economy,poverty,workers",rob-portman,U.S. senator from Ohio,Ohio,republican,3.0,5.0,11.0,11.0,1.0,"an interview on ABC’s ""This Week""",1
10673.json,mostly-true,"The Affordable Care Act is a major reason why weve seen 50,000 fewer preventable patient deaths in hospitals.","health-care,public-health",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a speech,1
806.json,true,"Congressman John Lewis, an American hero, made allegations that Sarah Palin and I were somehow associated with ... the worst chapter in American history. ... And, Senator Obama, you didn't repudiate those remarks.",candidates-biography,john-mccain,U.S. senator,Arizona,republican,31.0,39.0,31.0,37.0,8.0,"a debate in Hempstead, N.Y.",1
5300.json,true,"The national debt is equal to $48,700 for every American or $128,300 for every U.S. household. It is now equivalent to the size of our entire economy.",deficit,randy-forbes,Representative,Virginia,republican,1.0,0.0,4.0,3.0,0.0,a blog post.,1
7182.json,true,This week the House of Representatives voted to remove the word lunatic from federal law.,legal-issues,allen-west,"U.S. representative, Florida District 22",Florida,republican,6.0,9.0,3.0,1.0,4.0,a weekly newsletter,1
2934.json,half-true,"Sen. Joe Biden, the ranking member of the Foreign Relations Committee, recommended partitioning Iraq into three separate entities.",iraq,george-w-bush,President,Texas,republican,0.0,1.0,1.0,1.0,0.0,"his book ""Decision Points.""",1
12067.json,mostly-true,Seventy percent of Missourians support voter photo ID legislation.,"diversity,elections,legal-issues",caleb-rowden,State representative,Missouri,republican,1.0,0.0,1.0,1.0,0.0,a Columbia/Boone County League of Women Voters Town Hall,1
758.json,half-true,My plan offers three times as much tax relief to the middle class as Senator McCain's.,taxes,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a TV ad,1
5707.json,mostly-true,"Under President Obama, domestic oil production is at an eight-year high.",energy,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,a TV ad.,1
6851.json,half-true,Says under U.S. Sen. Robert Menendezs watch the nations unemployment rate and debt doubled and the federal budget deficit quadrupled.,"candidates-biography,debt,deficit,economy,jobs",joseph-kyrillos,State Senator,New Jersey,republican,3.0,3.0,2.0,2.0,1.0,a debate on NJTV,1
3832.json,mostly-true,Annual water usage in 2010 was actually down more than 18 percent from usage in 2006.,water,charlotte-nash,,Georgia,republican,1.0,0.0,1.0,2.0,0.0,a speech,1
3667.json,true,"Currently, there is no one from South Austin on the (Austin City) Council!",candidates-biography,max-nofziger,Musician,Texas,democrat,0.0,0.0,0.0,0.0,0.0,"“Voters Guide,” League of Women Voters of the Austin Area.",1
1772.json,half-true,"The percent of students who enter high school and eventually earn a diploma or equivalent, or who remain in pursuit of a diploma or equivalent, is 90 percent.","children,education",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,a press release,1
9923.json,mostly-true,There is no state in the U.S. where a 40-hour minimum wage work week is enough to afford a two-bedroom apartment.,"housing,income,poverty",facebook-posts,Social media posting,,none,14.0,18.0,15.0,11.0,36.0,a Facebook graphic,1
5449.json,mostly-true,Says theres no proven instance where hydraulic fracking has polluted groundwater.,"energy,environment,public-safety",rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,"a presidential campaign stop in Decorah, Iowa",1
8155.json,true,Sixty percent of the auto thefts that we have in (St. Petersburg) are caused by people leaving their keys in the car.,crime,bill-foster,"Mayor, St. Petersburg",Florida,republican,1.0,0.0,2.0,2.0,0.0,a mayoral forum,1
1503.json,mostly-true,"$100,000 in stimulus funds (were) used for a Martini Bar and Brazilian Steakhouse.",stimulus,mitch-mcconnell,Senate minority leader,Kentucky,republican,7.0,6.0,5.0,7.0,0.0,a press release,1
6270.json,true,"Says if labor force participation rate were the same as when Barack Obama became president, unemployment would be 11 percent.","economy,jobs",paul-ryan,U.S. Representative,Wisconsin,republican,19.0,6.0,16.0,14.0,2.0,his keynote address at the Republican Party of Texas convention,1
7036.json,half-true,There are millions of women all across the country who rely on Planned Parenthood for not just contraceptive care; they rely on it for mammograms.,"abortion,health-care",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,the second presidential debate at Hofstra University,1
750.json,half-true,"Under Obama's tax plan, ""95 percent of you will get a tax cut.""",taxes,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"Oxford, Miss.",1
10849.json,half-true,It is simply a fact that insufficient funding for Amtrak has delayed the installation of a positive train control safety system. To deny a connection between the (derailment in Philadelphia) and underfunding Amtrak is to deny reality.,"federal-budget,transportation",charles-schumer,Senator,New York,democrat,2.0,2.0,2.0,3.0,0.0,remarks to reporters,1
9962.json,mostly-true,"Austin has over 1,000 city employees that make six-figure salaries.","city-budget,city-government,corrections-and-updates,workers",jay-wiley,Attorney,Texas,republican,0.0,0.0,0.0,1.0,0.0,an Austin City Council candidate forum,1
8138.json,half-true,Says the acting chief of the IRS said he and the majority of IRS employees would rather stay with his current health plan than switch to Obamacare.,health-care,jeb-hensarling,U.S. Congressman,Texas,republican,0.0,2.0,1.0,0.0,1.0,a press release,1
2186.json,mostly-true,Florida is now the No. 1 state in the country for automobile accident fraud.,"consumer-safety,crime",holly-benson,,Florida,republican,0.0,0.0,0.0,2.0,0.0,a candidates' debate,1
7872.json,true,There was no surge in 501(c)(4) applications in 2010.,taxes,tim-griffin,Congressman from the 2nd district of Arkansas,Arkansas,republican,0.0,0.0,0.0,0.0,0.0,a House Ways and Means hearing,1
7209.json,true,"Says 10 days after Hurricane Katrina, this chamber passed two separate bills amounting to $60 billion. It has been nearly two months since we had Superstorm Sandy, and nothing has passed.","natural-disasters,weather",robert-menendez,U.S. Senator,New Jersey,democrat,1.0,3.0,1.0,3.0,0.0,a speech on the Senate floor,1
8829.json,true,"The extra point is almost automatic. (The NFL) had five missed extra points this year out of 1,200 some odd attempts.",sports,roger-goodell,NFL commissioner,,none,0.0,0.0,0.0,1.0,0.0,an interview on NFL.com,1
7367.json,mostly-true,We have a governor whos vetoed measures like increasing our minimum wage and restoring the earned income tax cut.,"jobs,labor,taxes",john-wisniewski,State Assemblyman,New Jersey,democrat,2.0,2.0,0.0,1.0,0.0,a campaign rally,1
13176.json,half-true,Says she voted for a statewide fracking ban.,"corrections-and-updates,environment",dana-young,Majority Leader for the Florida House of Representatives ,Florida,republican,0.0,0.0,2.0,0.0,0.0,a mailer,1
773.json,true,John McCain voted against funding the troops because of . . . a timeline in it to draw down American troops.,iraq,joe-biden,U.S. senator,Delaware,democrat,11.0,10.0,21.0,16.0,4.0,"a debate in St. Louis, Mo.",1
5151.json,half-true,More people have been put on food stamps by Barack Obama than any president in American history.,"economy,families,hunger,welfare",newt-gingrich,"Co-host on CNN's ""Crossfire""",Georgia,republican,16.0,15.0,20.0,10.0,11.0,"a Republican presidential debate in Myrtle Beach, S.C.",1
13426.json,mostly-true,Says Nevadans will have a double-digit hike in their Obamacare premiums for the year and 10 of Nevadas 16 counties will only have one Obamacare...exchange insurer,health-care,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a campaign speech.,1
5652.json,half-true,"If Rhode Island raises the meal and beverage tax to 10 percent, it would be the fourth-highest in the nation.","city-budget,economy,state-budget,taxes",john-elkhay,restaurateur,Rhode Island,newsmaker,0.0,0.0,1.0,0.0,0.0,a rally.,1
2415.json,half-true,Says the Austin chapter of the League of Women Voters has no Republicans among elected officers or on its debate committee.,bipartisanship,steve-munisteri,Attorney,Texas,republican,0.0,0.0,2.0,0.0,0.0,a press release.,1
4055.json,true,"Voting in the wrong precinct led to over 14,000 registered voters statewide to lose their vote in 2008.",elections,nina-turner,State senator,Ohio,democrat,1.0,0.0,0.0,0.0,0.0,a speech in the Ohio Senate,1
7787.json,half-true,"Says that according to a report, the tech sector now drives more than one-quarter of Austins economy.","economy,jobs",barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,"a speech in Manor, Texas.",1
13101.json,true,"In Harrisburg, I passed more bills than all the Democrats combined, in terms of legislation affecting the city.",government-efficiency,john-taylor,State Rep,Pennsylvania,republican,0.0,0.0,0.0,0.0,0.0,In an interview with City & State PA,1
2229.json,true,"This year, Newt Gingrich has raised as much money as Mitt Romney, Tim Pawlenty, Sarah Palin, and Mike Huckabee combined.",campaign-finance,esquire-magazine,,,none,0.0,0.0,0.0,0.0,0.0,a magazine profile,1
7578.json,true,"Says she has bipartisan support, including 53 sheriffs throughout the state, Democrats and Republicans.",elections,patience-roggensack,Wisconsin Supreme Court justice,Wisconsin,none,0.0,0.0,0.0,1.0,0.0,a candidate forum,1
12659.json,half-true,Says Hillary Clinton has been given tens of millions of dollars by countries that treat women horribly ...and countries that kill gays.,campaign-finance,donald-trump,President-Elect,New York,republican,63.0,114.0,51.0,37.0,61.0,a Phoenix rally,1
9355.json,half-true,"In Texas, a faceless hospital panel can deny life-sustaining care, giving you only 10 days to find another facility for your mother, dad, or young child, even if the patient is conscious.","corrections-and-updates,health-care,legal-issues",texas-right-life,,Texas,none,0.0,2.0,2.0,0.0,0.0,a video ad,1
4291.json,true,"One in four Texans lacks health insurance, the highest proportion in the nation.","health-care,pundits",paul-krugman,New York Times columnist,,none,0.0,2.0,3.0,4.0,0.0,"a column in the ""New York Times""",1
6602.json,half-true,Under the Obama economy ... utility bills are higher.,economy,mitt-romney,Former governor,Massachusetts,republican,34.0,32.0,58.0,33.0,19.0,his acceptance speech at the Republican National Convention in Tampa,1
9593.json,half-true,This president has offered fewer executive actions than almost any other president preceding his presidency in recent history.,supreme-court,beto-orourke,Congressman,Texas,democrat,0.0,0.0,1.0,0.0,0.0,"comments on CNN's ""State of the Union""",1
4741.json,half-true,People are five to seven times more likely to be murdered in workplaces that allow firearms than in those that prohibit it.,"guns,workers",wisconsin-anti-violence-effort-educational-fund,,,none,0.0,0.0,1.0,0.0,0.0,"website article, emails, direct mail",1
5540.json,mostly-true,Says there have been well over 54 million abortions since 1973.,"abortion,supreme-court,women",chris-smith,,,republican,0.0,0.0,0.0,1.0,0.0,a speech on the House floor,1
6855.json,true,Says Portland has higher standards than feds on allowed police use of force.,city-government,sam-adams,Mayor of Portland,Oregon,democrat,3.0,2.0,5.0,2.0,0.0,a tweet.,1
11060.json,mostly-true,Cobb County businesses have already been awarded contracts worth $250 million on construction of a new Braves stadium.,"baseball,county-budget,debt,economy,legal-issues",tim-lee,Cobb County Commission Chairman,,republican,0.0,0.0,1.0,1.0,0.0,mass email,1
511.json,mostly-true,Ronald Reagan met with Gorbachev; Kennedy met with Khruschev; and Nixon met with Mao and these were folks who have done horrendous damage not only to their own countries but to other countries.,foreign-policy,barack-obama,President,Illinois,democrat,70.0,71.0,160.0,163.0,9.0,an interview on Fox News' <i>America's Election HQ</i>,1
2131.json,true,The Latino unemployment rate is higher than the white rate and the black rate is higher than the Latino rate.,"diversity,economy,workers",marc-morial,President of the National Urban League,Louisiana,democrat,0.0,0.0,1.0,0.0,0.0,"a roundtable discussion on NBC's ""Meet the Press""",1
9615.json,mostly-true,Says the Obama administration never responded to his 2012 letter flagging the uptick in unaccompanied children crossing the U.S.-Mexico border.,immigration,rick-perry,Governor,Texas,republican,30.0,30.0,42.0,23.0,18.0,an interview on Fox & Friends,1
6023.json,mostly-true,The last three days of early voting happen to be the most populated days of voting that we have in early voting.,elections,ron-gerberry,State representative,Ohio,democrat,0.0,0.0,0.0,1.0,0.0,a news conference,1
2196.json,half-true,"Repealing the sales tax on boats in Rhode Island has spawned 2,000 companies, 7,000 jobs and close to $2 billion a year in sales activity.","economy,states,taxes",donald-carcieri,Governor,Rhode Island,republican,0.0,0.0,1.0,1.0,0.0,"an interview on Fox News' ""The Neil Cavuto Show,"" about U.S. Sen. John Kerry's boat",1
5035.json,half-true,Says Newt Gingrich supports amnesty for illegal immigrants.,"immigration,message-machine-2012",restore-our-future,super PAC,,republican,1.0,0.0,3.0,1.0,2.0,a TV ad airing in Iowa and Florida,1
12530.json,mostly-true,"Last year, 244 suspected terrorists walked into gun shops and attempted to purchase a firearm; 223 were able to get the firearm.","congress,crime,government-regulation,guns,homeland-security,public-safety,terrorism",charles-schumer,Senator,New York,democrat,2.0,2.0,2.0,3.0,0.0,a news conference,1
3105.json,mostly-true,Poll results from the past 35 years show that State of the Union speeches do not move presidential approval numbers.,"history,polls,abc-news-week",matthew-dowd,Commentator,Texas,independent,0.0,0.0,2.0,4.0,0.0,"an interview on ABC's ""This Week with Christiane Amanpour""",1
9852.json,mostly-true,Pinnacle Overlook in Southwest Virginia is closer to eight other state capitals than to Richmond.,states,tim-kaine,U.S. Senator,Virginia,democrat,8.0,3.0,15.0,15.0,0.0,a tweet.,1
3045.json,half-true,Saturdays shootings reflect a disturbing trend. Mass shootings have become commonplace since the Virginia Tech massacre in 2007. There have been dozens of incidents where three or more people have been fatally wounded. Hundreds have died.,"crime,criminal-justice,guns,pundits,abc-news-week",pierre-thomas,Senior justice correspondent for ABC News,,none,1.0,0.0,1.0,0.0,0.0,"a report on ABC News' ""This Week with Christiane Amanpour""",1
6859.json,half-true,Says tax revenues are the lowest they have been since World War II.,taxes,kurt-schrader,U.S. representative,Oregon,democrat,0.0,1.0,3.0,0.0,0.0,a newsletter.,1
1619.json,true,"The cost to implement Florida's class size amendment so far has been ""$16 billion.""",education,don-gaetz,State Senator,Florida,republican,1.0,0.0,3.0,1.0,0.0,debate on the Senate floor.,1
10104.json,half-true,"Says Scott Walker cut funding to local governments in Wisconsin, contributing to the second-largest increase in violent crime in the Midwest.","city-budget,city-government,county-budget,county-government,crime,state-budget",mary-burke,Madison school board member,Wisconsin,democrat,5.0,5.0,11.0,8.0,3.0,a debate,1
1924.json,true,Obama put a 10 percent tax on tanning.,health-care,snooki,,,none,0.0,0.0,0.0,0.0,0.0,"a video promo for ""Jersey Shore""",1
13286.json,half-true,Says Sen. John McCain has taken more money from Wall Street than any other sitting senator.,campaign-finance,ann-kirkpatrick,U.S. House of Representatives,Arizona,democrat,0.0,0.0,3.0,0.0,0.0,a U.S. Senate debate,1
10697.json,half-true,"Just two weeks ago, Congressman Hurd quit his post on the House Committee on Small Business saying that he was unable to find the time to serve.","job-accomplishments,small-business,voting-record",pete-gallego,Former legislator and U.S. House member,Texas,democrat,1.0,1.0,2.0,2.0,0.0,an email blast,1
8820.json,mostly-true,Obamacare passed by just one vote in the Senate. It wouldnt have passed without Mark Warners vote.,"health-care,voting-record",ed-gillespie,Republican strategist,"Washington, D.C.",republican,2.0,3.0,2.0,2.0,1.0,a web ad.,1
4254.json,mostly-true,Says Adam Hasners record includes requesting over $92.2 million in earmarks.,state-budget,george-lemieux,,Florida,republican,4.0,1.0,6.0,4.0,0.0,"a Web post Aug. 1, 2011",1
8442.json,mostly-true,No one beta-tested healthcare.gov.,"health-care,pundits,technology",sam-stein,"Political Editor and White House Correspondent, Huffington Post","Washington, D.C.",journalist,0.0,0.0,0.0,1.0,0.0,an interview on MSNBC's 'Morning Joe',1
12062.json,mostly-true,"Susie Lee and her husband own 17 homes across the country and use their private jet to take vacations, and invest in companies like Walmart, Halliburton and GEO Group.",candidates-biography,culinary-workers-union,,Nevada,labor-leader,0.0,0.0,0.0,1.0,0.0,a letter sent to union members,1
4103.json,mostly-true,"Says for the first time in the history of the United States, the government cut taxes during wartime","afghanistan,bush-administration,corrections-and-updates,iraq,taxes",cory-booker,U.S. senator,New Jersey,democrat,0.0,4.0,2.0,8.0,0.0,an interview on NPR’s “Tell Me More” with Michel Martin,1
11046.json,mostly-true,A working woman will earn $7.70 on $10.,"income,labor,women,workers",tom-toles,,,none,0.0,0.0,0.0,1.0,0.0,an editorial cartoon,1
10392.json,mostly-true,"Georgia is now the eighth most populous state in the nation, moving from the number 10 position in just four years.","census,economy",nathan-deal,,,republican,9.0,5.0,11.0,11.0,0.0,the governor's State of the State address,1
6867.json,mostly-true,"Says Travis County Sheriff Greg Hamilton has accepted $42,000 from strip-club interests and $10,000 from local alcohol distributors.","campaign-finance,crime,criminal-justice",raymond-frank,Retiree,Texas,republican,0.0,0.0,0.0,1.0,0.0,an advertisement.,1
1040.json,true,"President Obama will now own 60 percent of GM, and his union buddies will own almost 20 percent.","bankruptcy,market-regulation",michael-steele,chairman of the Republican National Committee,Maryland,republican,0.0,1.0,1.0,0.0,2.0,a press release.,1
13065.json,mostly-true,If upstate New York split from downstate the economic indicators of upstate New York would be among the lowest in the country.,"economy,jobs",bob-duffy,President of the Rochester Business Alliance,New York,democrat,0.0,0.0,0.0,1.0,0.0,an op-ed in the Rochester Business Journal,1
12040.json,mostly-true,When New York Gov. Eliot Spitzer wanted to provide drivers licenses to those who are undocumented. (Hillary Clinton) said dont do it.,immigration,bernie-s,U.S. Senator,Vermont,independent,18.0,12.0,22.0,41.0,0.0,a Democratic debate in Miami,1
1002.json,half-true,"Cass Sunstein, President Obama's nominee for regulatory czar, ""wants to give legal standing to animals so they can sue you for eating meat.""",legal-issues,wayne-lapierre,,,none,3.0,1.0,3.0,1.0,0.0,a CPAC conference,1
